Date,Cases,
2020-02-28,1.00,
2020-02-29,1.00,
2020-03-01,0.00,
2020-03-02,2.00,
2020-03-03,1.00,
2020-03-04,0.00,
2020-03-05,1.00,
2020-03-06,2.00,
2020-03-07,0.00,
2020-03-08,1.00,
2020-03-09,3.00,
2020-03-10,7.00,
2020-03-11,19.00,
2020-03-12,18.00,
2020-03-13,27.00,
2020-03-14,24.00,
2020-03-15,21.00,
2020-03-16,29.00,
2020-03-17,46.00,
2020-03-18,53.00,
2020-03-19,60.00,
2020-03-20,78.00,
2020-03-21,45.00,
2020-03-22,34.00,
2020-03-23,94.00,
2020-03-24,100.00,
2020-03-25,86.00,
2020-03-26,96.00,
2020-03-27,117.00,
2020-03-28,82.00,
2020-03-29,43.00,
2020-03-30,78.00,
2020-03-31,104.00,
2020-04-01,102.00,
2020-04-02,112.00,
2020-04-03,112.00,
2020-04-04,69.00,
2020-04-05,36.00,
2020-04-06,61.00,
2020-04-07,112.00,
2020-04-08,90.00,
2020-04-09,92.00,
2020-04-10,34.00,
2020-04-11,40.00,
2020-04-12,16.00,
2020-04-13,98.00,
2020-04-14,18.00,
2020-04-15,42.00,
2020-04-16,51.00,
2020-04-17,40.00,
2020-04-18,25.00,
2020-04-19,9.00,
2020-04-20,28.00,
2020-04-21,38.00,
2020-04-22,35.00,
2020-04-23,41.00,
2020-04-24,39.00,
2020-04-25,16.00,
2020-04-26,6.00,
2020-04-27,13.00,
2020-04-28,22.00,
2020-04-29,18.00,
2020-04-30,19.00,
2020-05-01,13.00,
2020-05-02,11.00,
2020-05-03,49.00,
2020-05-04,15.00,
2020-05-05,49.00,
2020-05-06,16.00,
2020-05-07,34.00,
2020-05-08,22.00,
2020-05-09,20.00,
2020-05-10,20.00,
2020-05-11,5.00,
2020-05-12,16.00,
2020-05-13,12.00,
2020-05-14,5.00,
2020-05-15,7.00,
2020-05-16,2.00,
2020-05-17,1.00,
2020-05-18,0.00,
2020-05-19,14.00,
2020-05-20,9.00,
2020-05-21,23.00,
2020-05-22,18.00,
2020-05-23,0.00,
2020-05-24,0.00,
2020-05-25,0.00,
2020-05-26,7.00,
2020-05-27,0.00,
2020-05-28,6.00,
2020-05-29,14.00,
2020-05-30,4.00,
2020-05-31,3.00,
2020-06-01,5.00,
2020-06-02,1.00,
2020-06-03,0.00,
2020-06-04,0.00,
2020-06-05,2.00,
2020-06-06,2.00,
2020-06-07,1.00,
2020-06-08,2.00,
2020-06-09,1.00,
2020-06-10,3.00,
2020-06-11,3.00,
2020-06-12,1.00,
2020-06-13,0.00,
2020-06-14,0.00,
2020-06-15,2.00,
2020-06-16,1.00,
2020-06-17,0.00,
2020-06-18,9.00,
2020-06-19,2.00,
2020-06-20,1.00,
2020-06-21,2.00,
2020-06-22,0.00,
2020-06-23,1.00,
2020-06-24,4.00,
2020-06-25,6.00,
2020-06-26,1.00,
2020-06-27,3.00,
2020-06-28,1.00,
2020-06-29,3.00,
2020-06-30,6.00,
2020-07-01,12.00,
2020-07-02,5.00,
2020-07-03,4.00,
2020-07-04,3.00,
2020-07-05,5.00,
2020-07-06,0.00,
2020-07-07,4.00,
2020-07-08,7.00,
2020-07-09,3.00,
2020-07-10,1.00,
2020-07-11,0.00,
2020-07-12,8.00,
2020-07-13,9.00,
2020-07-14,8.00,
2020-07-15,8.00,
2020-07-16,2.00,
2020-07-17,14.00,
2020-07-18,4.00,
2020-07-19,7.00,
2020-07-20,9.00,
2020-07-21,6.00,
2020-07-22,17.00,
2020-07-23,8.00,
2020-07-24,12.00,
2020-07-25,7.00,
2020-07-26,7.00,
2020-07-27,23.00,
2020-07-28,26.00,
2020-07-29,31.00,
2020-07-30,26.00,
2020-07-31,24.00,
2020-08-01,16.00,
2020-08-02,7.00,
2020-08-03,17.00,
2020-08-04,23.00,
2020-08-05,17.00,
2020-08-06,36.00,
2020-08-07,10.00,
2020-08-08,9.00,
2020-08-09,8.00,
2020-08-10,35.00,
2020-08-11,52.00,
2020-08-12,38.00,
2020-08-13,22.00,
2020-08-14,33.00,
2020-08-15,19.00,
2020-08-16,2.00,
2020-08-17,15.00,
2020-08-18,18.00,
2020-08-19,22.00,
2020-08-20,24.00,
2020-08-21,14.00,
2020-08-22,14.00,
2020-08-23,6.00,
2020-08-24,22.00,
2020-08-25,28.00,
2020-08-26,22.00,
2020-08-27,18.00,
2020-08-28,17.00,
2020-08-29,5.00,
2020-08-30,9.00,
2020-08-31,15.00,
2020-09-01,16.00,
2020-09-02,26.00,
2020-09-03,21.00,
2020-09-04,9.00,
2020-09-05,8.00,
2020-09-06,4.00,
2020-09-07,19.00,
2020-09-08,21.00,
2020-09-09,23.00,
2020-09-10,16.00,
2020-09-11,11.00,
2020-09-12,9.00,
2020-09-13,9.00,
2020-09-14,24.00,
2020-09-15,35.00,
2020-09-16,30.00,
